processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
AMSF072-09	I.44627-012	1124929	I.44627-012		Australian Museum, Sydney		BOLD:AAA8614	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3511	Trachurus	11559	Trachurus novaezelandiae			Mark A. McGrouther		Richardson, 1843					P.B.Berents													FAO-81		-36.6864	149.998							Australia	New South Wales			Baronda Headland, south side									
ANGBF17292-19	KF378584	10115650			Mined from GenBank, NCBI		BOLD:ACF4541	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3546	Caranx	68594	Caranx papuensis					Alleyne & Macleay, 1877																												New Caledonia													
ANGBF17391-19	KY570735	10115749			Mined from GenBank, NCBI		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi					(Temminck & Schlegel, 1843)																				5.68	100.372							Malaysia													
ANGBF17417-19	KY570761	10115775			Mined from GenBank, NCBI		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi					(Temminck & Schlegel, 1843)																				18.9114	105.864							Vietnam													
ANGBF55324-19	MK047012	10853409			Mined from GenBank, NCBI		BOLD:AAA8614	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3511	Trachurus	11629	Trachurus picturatus					Bowdich, 1825																				39.6753	-7.93366	Coordinates from country centroid						Portugal													
BZLWE003-08	BZLW8003	889576	USNM:FISH:BLZ8003	BLZ8003	Smithsonian Institution		BOLD:AAC0911	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3546	Caranx	90363	Caranx ruber			Carole C. Baldwin		Bloch, 1793					Baldwin, Foltz, Weigt							A						FAO-31	205mm: PHOTO Weigt: CBC N end: spear:	16.8021	-88.0817							Belize		Stann Creek District	Dangriga Constituency	CB08-03									
DBMF079-10	DBMF-M79	1467614	SB03-01	SB03-01	Universiti Malaysia Terengganu		BOLD:AAB5271	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	64254	Megalaspis	64255	Megalaspis cordyla					Linnaeus, 1758					Tun Nurul Aimi													FAO-71		2.36	102.026							Malaysia	Malacca	Malacca Strait		Kuala Sungai Baru									
DBMF132-10	DBMF-M132	1665356	UMTF03380	MGJ08-04	Universiti Malaysia Terengganu		BOLD:AAB0871	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	28012	Selar	28013	Selar crumenophthalmus					Bloch, 1793					Tun Nurul Aimi													FAO-71		2.434	103.836							Malaysia	Johor	South China Sea		Mersing									
DBMF223-10	DBMF-M223	1665447	UMTF03471	KDJ04-01	Universiti Malaysia Terengganu		BOLD:AAD8719	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	28012	Selar	90892	Selar boops					Cuvier, 1833					Tun Nurul Aimi													FAO-71		4.778	103.425							Malaysia	Terengganu	South China Sea		Kuala Dungun									
DBMF291-10	DBMF-M291	1665515	UMTF03539	KBJ01-05	Universiti Malaysia Terengganu		BOLD:AAD2679	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595073	Scomberoidinae	3544	Scomberoides	258807	Scomberoides tala					Cuvier, 1832					Tun Nurul Aimi													FAO-71		5.831	102.563							Malaysia	Terengganu	South China Sea		Kuala Besut									
