Family,Function,Start,End
Bufonidae,dataFishing Script,2024/09/10 - 14:37:51,2024/09/10 - 14:38:24
Bufonidae,taxize Package,2024/09/08 - 22:33:15,2024/09/08 - 22:36:00
Bufonidae,rredlist Package,2024/09/08 - 22:36:00,2024/09/08 - 22:38:20

Carangidae,dataFishing Script,2024/09/10 - 14:39:29,2024/09/10 - 14:39:49
Carangidae,taxize Package,2024/09/08 - 22:38:20,2024/09/08 - 22:39:52
Carangidae,rredlist Package,2024/09/08 - 22:39:52,2024/09/08 - 22:41:12

Carcharhinidae,dataFishing Script,2024/09/10 - 14:37:11,2024/09/10 - 14:37:22
Carcharhinidae,taxize Package,2024/09/08 - 22:41:13,2024/09/08 - 22:41:58
Carcharhinidae,rredlist Package,2024/09/08 - 22:41:58,2024/09/08 - 22:42:38

Cercopithecidae,dataFishing Script,2024/09/10 - 14:40:06,2024/09/10 - 14:40:22
Cercopithecidae,taxize Package,2024/09/08 - 22:42:39,2024/09/08 - 22:43:51
Cercopithecidae,rredlist Package,2024/09/08 - 22:43:51,2024/09/08 - 22:44:56

Clupeidae,dataFishing Script,2024/09/10 - 14:41:08,2024/09/10 - 14:41:41
Clupeidae,taxize Package,2024/09/08 - 22:44:56,2024/09/08 - 22:47:10
Clupeidae,rredlist Package,2024/09/08 - 22:47:10,2024/09/08 - 22:49:09

Columbidae,dataFishing Script,2024/09/10 - 14:34:34,2024/09/10 - 14:34:46
Columbidae,taxize Package,2024/09/08 - 22:49:09,2024/09/08 - 22:50:41
Columbidae,rredlist Package,2024/09/08 - 22:50:41,2024/09/08 - 22:51:58

Lacertidae,dataFishing Script,2024/09/10 - 14:33:08,2024/09/10 - 14:34:19
Lacertidae,taxize Package,2024/09/08 - 22:51:58,2024/09/08 - 22:53:23
Lacertidae,rredlist Package,2024/09/08 - 22:53:23,2024/09/08 - 22:54:38

Loricariidae,dataFishing Script,2024/09/10 - 14:45:49,2024/09/10 - 14:47:18
Loricariidae,taxize Package,2024/09/08 - 22:54:39,2024/09/08 - 23:01:42
Loricariidae,rredlist Package,2024/09/08 - 23:01:42,2024/09/08 - 23:11:05

Sciaenidae,dataFishing Script,2024/09/10 - 14:31:45,2024/09/10 - 14:32:09
Sciaenidae,taxize Package,2024/09/08 - 23:11:06,2024/09/08 - 23:13:22
Sciaenidae,rredlist Package,2024/09/08 - 23:13:22,2024/09/08 - 23:15:24

Vespertilionidae,dataFishing Script,2024/09/10 - 14:30:12,2024/09/10 - 14:31:06
Vespertilionidae,taxize Package,2024/09/08 - 23:26:55,2024/09/08 - 23:31:50
Vespertilionidae,rredlist Package,2024/09/08 - 23:31:50,2024/09/08 - 23:35:51
