SIS ID,Sequence,Family,Scientific name,Common name,RL Category,PE,PEW,Seabird,Waterbird,Landbird,Migratory status,Ecosystem - Terrestrial,Ecosystem - Freshwater,Ecosystem - Marine,RL AOO,Criteria met at highest level,RL EOO (smaller of breeding and non-breeding EOO),Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
22692720,20550,"Rails, Gallinules, Coots",Laterallus flaviventer,Yellow-breasted Crake,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,22600000,7000,estimated,Unknown,not applicable
62114603,6460,Grebes,Podiceps juninensis,Northern Silvery Grebe,NT,False,False,False,True,False,Not a migrant,True,True,False,0,A2cde+3cde+4cde,2960000,Unknown,not applicable,Decreasing,suspected
22729904,7830,"Pigeons, Doves",Geotrygon caniceps,Gray-fronted Quail-Dove,VU,False,False,False,False,True,Not a migrant,True,False,False,0,A2bcde+3bcde+4bcde,141000,1500-7000,estimated,Decreasing,inferred
22690966,7850,"Pigeons, Doves",Geotrygon montana,Ruddy Quail-Dove,LC,False,False,False,False,True,Nomadic,True,False,False,0,,22600000,50000-500000,estimated,Decreasing,inferred
22678386,1150,"Guans, Chachalacas, Curassows",Penelope jacquacu,Spix's Guan,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,5880000,Unknown,not applicable,Decreasing,suspected
22678348,1450,"Guans, Chachalacas, Curassows",Ortalis superciliaris,Buff-browed Chachalaca,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,438000,100000-499999,suspected,Decreasing,suspected
22679551,1700,Guineafowl,Agelastes niger,Black Guineafowl,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,2180000,Unknown,suspected,Decreasing,suspected
22679572,1710,Guineafowl,Acryllium vulturinum,Vulturine Guineafowl,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,1500000,Unknown,estimated,Stable,suspected
22679560,1720,Guineafowl,Guttera plumifera,Plumed Guineafowl,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,2610000,6700-67000,suspected,Decreasing,suspected
22679054,2260,"Pheasants, Partridges, Turkeys, Grouse",Arborophila davidi,Orange-necked Partridge,NT,False,False,False,False,True,Not a migrant,True,False,False,0,B1ab(iii); C2a(i),10100,2500-9999,suspected,Decreasing,inferred
22679440,2560,"Pheasants, Partridges, Turkeys, Grouse",Pavo muticus,Green Peafowl,EN,False,False,False,False,True,Not a migrant,True,False,False,0,A2cd+3cd+4cd,4590000,10000-19999,suspected,Decreasing,suspected
22678667,2870,"Pheasants, Partridges, Turkeys, Grouse",Tetraogallus tibetanus,Tibetan Snowcock,LC,False,False,False,False,True,Altitudinal migrant,True,False,False,0,,2340000,Unknown,estimated,Stable,suspected
22679163,3660,"Pheasants, Partridges, Turkeys, Grouse",Tragopan blythii,Blyth's Tragopan,VU,False,False,False,False,True,Altitudinal migrant,True,False,False,0,C2a(i),355000,2500-9999,estimated,Decreasing,inferred
22679514,4300,"Pheasants, Partridges, Turkeys, Grouse",Tympanuchus cupido,Greater Prairie-chicken,NT,False,False,False,False,True,Not a migrant,True,False,False,0,A3bcde,1990000,360000,estimated,Increasing,estimated
22679827,4500,"Ducks, Geese, Swans",Oxyura australis,Blue-billed Duck,LC,False,False,False,True,False,Not a migrant,False,True,False,0,,5000000,"11000-19000, 15000",suspected,Stable,inferred
22680384,5570,"Ducks, Geese, Swans",Aythya baeri,Baer's Pochard,CR,False,False,False,True,False,Full migrant,False,True,False,0,A2cd+3cd+4cd; C2a(ii),2270000,150-700,inferred,Decreasing,inferred
22692586,21150,"Rails, Gallinules, Coots",Aramides ypecaha,Giant Wood-rail,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,4210000,66700-667000,estimated,Stable,suspected
154837348,21190,"Rails, Gallinules, Coots",Aramides cajaneus,Grey-cowled Wood-rail,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,16900000,5000000-50000000,estimated,Stable,suspected
22692667,21460,"Rails, Gallinules, Coots",Zapornia pusilla,Baillon's Crake,LC,False,False,False,True,False,Full migrant,True,True,True,0,,74800000,500000-999999,estimated,Unknown,not applicable
22728732,21690,"Rails, Gallinules, Coots",Porphyrio kukwiedei,New Caledonia Gallinule,EX,False,False,False,True,False,Not a migrant,False,True,False,0,,0,Unknown,,,not applicable
22728833,21710,"Rails, Gallinules, Coots",Porphyrio mantelli,North Island Takahe,EX,False,False,False,True,False,Not a migrant,True,False,False,0,,0,Unknown,,,not applicable
22692078,22240,Cranes,Grus canadensis,Sandhill Crane,LC,False,False,False,True,False,Full migrant,True,True,False,0,,33500000,450000-550000,inferred,Increasing,estimated
22692073,22250,Cranes,Grus vipio,White-naped Crane,VU,False,False,False,True,False,Full migrant,True,True,True,0,A2bcde+3bcde+4bcde,1400000,3700-4500,estimated,Decreasing,suspected
22692162,22320,Cranes,Grus nigricollis,Black-necked Crane,NT,False,False,False,True,False,Altitudinal migrant,True,True,False,0,C1+2a(ii),1790000,6600-6800,estimated,Stable,estimated
22692024,22490,Bustards,Sypheotides indicus,Lesser Florican,CR,False,False,False,False,True,Full migrant,True,False,False,0,A2bcd+3bcd+4bcd,520000,"356-1228, 730",estimated,Decreasing,estimated
22688327,22760,Turacos,Tauraco fischeri,Fischer's Turaco,NT,False,False,False,False,True,Not a migrant,True,False,False,0,C2a(ii),170000,1500-7000,suspected,Decreasing,suspected
22697516,25250,"Ibises, Spoonbills",Threskiornis melanocephalus,Black-headed Ibis,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,11210000,250000-500000,suspected,Increasing,inferred
22697496,25330,"Ibises, Spoonbills",Geronticus calvus,Southern Bald Ibis,NT,False,False,False,True,False,Not a migrant,True,False,False,0,A3c; C2a(ii),228000,7000-8000,estimated,Stable,inferred
22697484,25370,"Ibises, Spoonbills",Bostrychia rara,Spot-breasted Ibis,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,4730000,Unknown,estimated,Decreasing,inferred
22697460,25470,"Ibises, Spoonbills",Mesembrinibis cayennensis,Green Ibis,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,13500000,50000-499999,estimated,Stable,suspected
22697291,25630,Herons,Zebrilus undulatus,Zigzag Heron,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,7800000,Unknown,not applicable,Decreasing,suspected
22697203,25880,Herons,Nyctanassa violacea,Yellow-crowned Night Heron,LC,False,False,False,True,False,Full migrant,True,True,True,0,,36200000,Unknown,estimated,Stable,suspected
22697031,26120,Herons,Ardea purpurea,Purple Heron,LC,False,False,False,True,False,Full migrant,True,True,True,0,,131000000,180000-380000,estimated,Decreasing,suspected
22697037,26230,Herons,Egretta picata,Pied Heron,LC,False,False,False,True,False,Full migrant,True,True,True,0,,2450000,16700-66700,estimated,Unknown,suspected
22693785,27750,Plovers,Charadrius sanctaehelenae,Saint Helena Plover,VU,False,False,False,True,False,Not a migrant,True,False,False,0,D1,70,545,estimated,Increasing,estimated
22693978,28080,Plovers,Vanellus armatus,Blacksmith Lapwing,LC,False,False,False,True,False,Not a migrant,True,True,True,0,,7590000,66700-667000,estimated,Increasing,suspected
22694021,28130,Plovers,Vanellus albiceps,White-crowned Lapwing,LC,False,False,False,True,False,Not a migrant,True,True,True,0,,14000000,37300-85300,estimated,Decreasing,suspected
22694033,28140,Plovers,Vanellus lugubris,Senegal Lapwing,LC,False,False,False,True,False,Full migrant,True,True,False,0,,12900000,16700-46700,estimated,Unknown,not applicable
22694038,28150,Plovers,Vanellus melanopterus,Black-winged Lapwing,LC,False,False,False,True,False,Altitudinal migrant,True,False,True,0,,4740000,9300-42000,estimated,Unknown,suspected
22693199,28590,"Sandpipers, Snipes, Phalaropes",Numenius madagascariensis,Far Eastern Curlew,EN,False,False,False,True,False,Full migrant,True,True,True,0,A2bcd+4bcd,5590000,"20000-35000, 21000-28000",estimated,Decreasing,estimated
22724420,68250,Tyrant-flycatchers,Contopus hispaniolensis,Hispaniolan Pewee,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,121000,Unknown,not applicable,Decreasing,suspected
22700500,68820,Tyrant-flycatchers,Tyrannus forficatus,Scissor-tailed Flycatcher,LC,False,False,False,False,True,Full migrant,True,False,False,0,,1660000,9100000,estimated,Decreasing,estimated
22700373,68840,Tyrant-flycatchers,Rhytipterna holerythra,Rufous Mourner,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,2230000,50000-499999,suspected,Decreasing,inferred
22704361,69940,Honeyeaters,Phylidonyris novaehollandiae,New Holland Honeyeater,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,4680000,Unknown,not applicable,Stable,suspected
22704292,70220,Honeyeaters,Meliarchus sclateri,Makira Honeyeater,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,4300,Unknown,not applicable,Stable,suspected
22704317,70270,Honeyeaters,Gymnomyza samoensis,Mao,EN,False,False,False,False,True,Not a migrant,True,False,False,640,C2a(i); D,1380,125-250,estimated,Decreasing,inferred
22704320,70280,Honeyeaters,Gymnomyza aubryana,Crow Honeyeater,CR,False,False,False,False,True,Not a migrant,True,False,False,0,C2a(ii),9900,50-249,estimated,Decreasing,inferred
22704215,70520,Honeyeaters,Philemon albitorques,White-naped Friarbird,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,3100,Unknown,not applicable,Unknown,not applicable
22703834,70780,Honeyeaters,Myzomela adolphinae,Mountain Myzomela,LC,False,False,False,False,True,Nomadic,True,False,False,0,,506000,Unknown,not applicable,Stable,suspected
22704430,71900,Honeyeaters,Manorina melanophrys,Bell Miner,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,567000,Unknown,not applicable,Decreasing,suspected
22704692,72180,Thornbills,Gerygone magnirostris,Large-billed Gerygone,LC,False,False,False,False,True,Not a migrant,True,True,False,0,,5220000,Unknown,not applicable,Stable,suspected
22704711,72190,Thornbills,Gerygone dorsalis,Rufous-sided Gerygone,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,237000,Unknown,not applicable,Stable,suspected
22705595,73080,Old World Orioles,Turnagra capensis,South Island Piopio,EX,False,False,False,False,True,Not a migrant,True,False,False,0,,0,Unknown,,,not applicable
22705463,73890,Whistlers,Pachycephala hypoxantha,Bornean Whistler,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,552000,Unknown,not applicable,Decreasing,inferred
103694187,75340,Cuckooshrikes,Coracina welchmani,North Melanesian Cuckooshrike,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,341000,Unknown,not applicable,Decreasing,suspected
103702640,75870,Cuckooshrikes,Edolisoma nesiotis,Yap Cicadabird,EN,False,False,False,False,True,Not a migrant,True,False,False,184,D,184,180,estimated,Stable,suspected
22715082,76510,Vangas and allies,Newtonia amphichroa,Dark Newtonia,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,675000,Unknown,not applicable,Unknown,not applicable
22708012,76530,Vangas and allies,Calicalicus madagascariensis,Red-tailed Vanga,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,619000,Unknown,not applicable,Decreasing,suspected
22708054,76690,Vangas and allies,Oriolia bernieri,Bernier's Vanga,EN,False,False,False,False,True,Not a migrant,True,False,False,0,A3bc,48900,2500-9999,estimated,Decreasing,suspected
22708041,76700,Vangas and allies,Falculea palliata,Sickle-billed Vanga,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,595000,Unknown,not applicable,Decreasing,suspected
22707783,76760,Vangas and allies,Prionops rufiventris,Rufous-bellied Helmetshrike,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,2300000,Unknown,,Decreasing,estimated
22707864,77020,Batises and Wattle-eyes,Batis molitor,Chinspot Batis,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,8710000,Unknown,not applicable,Stable,suspected
22707881,77040,Batises and Wattle-eyes,Batis orientalis,Grey-headed Batis,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,6390000,Unknown,not applicable,Stable,suspected
22707868,77050,Batises and Wattle-eyes,Batis soror,East Coast Batis,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,1360000,Unknown,not applicable,Stable,suspected
22707433,77360,Ioras,Aegithina tiphia,Common Iora,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,14900000,Unknown,not applicable,Unknown,not applicable
22707495,77590,Bush-shrikes,Tchagra senegalus,Black-crowned Tchagra,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,34400000,Unknown,not applicable,Stable,suspected
22707597,77880,Bush-shrikes,Laniarius atroflavus,Yellow-breasted Boubou,LC,False,False,False,False,True,Not a migrant,True,True,False,0,,93100,Unknown,not applicable,Decreasing,suspected
22706884,78440,Fantails,Rhipidura teysmanni,Rusty-bellied Fantail,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,347000,Unknown,not applicable,Decreasing,inferred
22706921,78510,Fantails,Rhipidura semirubra,Manus Fantail,LC,False,False,False,False,True,Not a migrant,True,False,False,304,,2100,1500-7000,suspected,Stable,suspected
103711188,79300,Monarch-flycatchers,Myiagra castaneigularis,Chestnut-throated Flycatcher,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,29800,Unknown,not applicable,Decreasing,suspected
22707333,80140,Monarch-flycatchers,Metabolus godeffroyi,Yap Monarch,NT,False,False,False,False,True,Not a migrant,True,False,False,184,D2,184,10000-30000,estimated,Stable,suspected
22705053,80730,Shrikes,Lanius excubitoroides,Grey-backed Fiscal,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,8430000,Unknown,not applicable,Stable,suspected
22705916,81020,Crows and jays,Pyrrhocorax pyrrhocorax,Red-billed Chough,LC,False,False,False,False,True,Not a migrant,True,False,True,0,,51300000,846000-1970000,estimated,Unknown,estimated
22712710,93620,Bulbuls,Poliolophus urostictus,Yellow-wattled Bulbul,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,655000,Unknown,not applicable,Decreasing,suspected
22729503,93640,Leaf-warblers,Phylloscopus orientalis,Eastern Bonelli's Warbler,LC,False,False,False,False,True,Full migrant,True,False,False,0,,1900000,65000-218000,estimated,Unknown,estimated
103845369,94120,Leaf-warblers,Phylloscopus grammiceps,Javan Warbler,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,61700,Unknown,not applicable,Decreasing,suspected
22714403,94970,Bush-warblers,Horornis ruficapilla,Fiji Bush-warbler,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,55600,Unknown,not applicable,Decreasing,suspected
103872756,95270,Old World Warblers,Sylvia atriceps,Rwenzori Hill-babbler,LC,False,False,False,False,True,Not a migrant,True,False,False,0,,1470000,Unknown,not applicable,Decreasing,suspected
22716910,95560,Old World Warblers,Curruca communis,Common Whitethroat,LC,False,False,False,False,True,Full migrant,True,False,False,0,,24600000,60300000-91100000,estimated,Increasing,estimated
